#fields	indicator	indicator_type	meta.source	meta.do_notice
yimg.1stdayofwinter.com	Intel::DOMAIN	APT	T
yimg.1208nw199thpl.info	Intel::DOMAIN	APT	T
yieidmanager.com	Intel::DOMAIN	APT	T
xmoqu38hasdf0opw.com	Intel::DOMAIN	APT	T
www.sapporo-digital-photoclub.com	Intel::DOMAIN	APT	T
www.newpresses.com	Intel::DOMAIN	APT	T
www.lisword.com	Intel::DOMAIN	APT	T
www.km153.com	Intel::DOMAIN	APT	T
www.km153.com	Intel::DOMAIN	APT	T
www.km-nyc.com	Intel::DOMAIN	APT	T
www.ihcsa.or.jp	Intel::DOMAIN	APT	T
www.iapfreecenter.com	Intel::DOMAIN	APT	T
www.credo-biz.com	Intel::DOMAIN	APT	T
www.creammemory.com	Intel::DOMAIN	APT	T
www.cbkjdxf.com	Intel::DOMAIN	APT	T
www.bluesixnine.com	Intel::DOMAIN	APT	T
www.bigfixtools.com	Intel::DOMAIN	APT	T
www.autoapec.com	Intel::DOMAIN	APT	T
www.appsecnic.com	Intel::DOMAIN	APT	T
wizapply.com	Intel::DOMAIN	APT	T
wangzongfacai.com	Intel::DOMAIN	APT	T
walterclean.com	Intel::DOMAIN	APT	T
wakayamasatei.com	Intel::DOMAIN	APT	T
video.csmcpr.com	Intel::DOMAIN	APT	T
vic.perrydale.com	Intel::DOMAIN	APT	T
u.java-se.com	Intel::DOMAIN	APT	T
u.java-se.com	Intel::DOMAIN	APT	T
translate.wordraference.com	Intel::DOMAIN	APT	T
tommo.jp	Intel::DOMAIN	APT	T
src.sheffieldwoods.org	Intel::DOMAIN	APT	T
src.sandcastlesmagazine.com	Intel::DOMAIN	APT	T
sp.you-maga.com	Intel::DOMAIN	APT	T
shinzenho.jp	Intel::DOMAIN	APT	T
securitywap.com	Intel::DOMAIN	APT	T
rxxiaoao.com	Intel::DOMAIN	APT	T
rpt.perrydale.com	Intel::DOMAIN	APT	T
rpgallerynow.info	Intel::DOMAIN	APT	T
report.perrydale.com	Intel::DOMAIN	APT	T
psa.perrydale.com	Intel::DOMAIN	APT	T
pn.lamb-site.com	Intel::DOMAIN	APT	T
p.java-sec.com	Intel::DOMAIN	APT	T
outlookscansafe.net	Intel::DOMAIN	APT	T
outlookexchange.net	Intel::DOMAIN	APT	T
nitori-tour.com	Intel::DOMAIN	APT	T
ninekobe.com	Intel::DOMAIN	APT	T
nickgoodsite.co.uk	Intel::DOMAIN	APT	T
news.jusched.net	Intel::DOMAIN	APT	T
neteasymarketing.biz	Intel::DOMAIN	APT	T
navert0p.com	Intel::DOMAIN	APT	T
msoutexchange.us	Intel::DOMAIN	APT	T
mizma.co.jp	Intel::DOMAIN	APT	T
micagirl.net	Intel::DOMAIN	APT	T
luxscena.com	Intel::DOMAIN	APT	T
link.angellroofing.com	Intel::DOMAIN	APT	T
lilywang823@gmail.com	Intel::DOMAIN	APT	T
lifehealthsanfrancisco2015.com	Intel::DOMAIN	APT	T
junomaat81.us	Intel::DOMAIN	APT	T
jre76.java-se.com	Intel::DOMAIN	APT	T
join.playboysplus.com	Intel::DOMAIN	APT	T
java-se.com	Intel::DOMAIN	APT	T
inform.bedircati.com	Intel::DOMAIN	APT	T
info.3000uc.com	Intel::DOMAIN	APT	T
img.lakeforestparkhome.info	Intel::DOMAIN	APT	T
img.kirklandhouse.info	Intel::DOMAIN	APT	T
img.greenwoodhouse.info	Intel::DOMAIN	APT	T
img.broadviewhome.info	Intel::DOMAIN	APT	T
icc.ignorelist.com	Intel::DOMAIN	APT	T
hk.java-se.com	Intel::DOMAIN	APT	T
hk.java-se.com	Intel::DOMAIN	APT	T
heethai.com	Intel::DOMAIN	APT	T
hcxiaoao.com	Intel::DOMAIN	APT	T
h.micagirl.net	Intel::DOMAIN	APT	T
adserver.worldtotravel.com	Intel::DOMAIN	APT	T
adserver.whyresearch.com	Intel::DOMAIN	APT	T
adserver.trendingwoman.com	Intel::DOMAIN	APT	T
adserver.streetzsavvy.com	Intel::DOMAIN	APT	T
adserver.smackchow.com	Intel::DOMAIN	APT	T
adserver.recipechart.com	Intel::DOMAIN	APT	T
adserver.rawdaily.com	Intel::DOMAIN	APT	T
adserver.quickmensguide.com	Intel::DOMAIN	APT	T
adserver.moviesland.com	Intel::DOMAIN	APT	T
adserver.mensstylebook.com	Intel::DOMAIN	APT	T
adserver.ie-games.com	Intel::DOMAIN	APT	T
adserver.hometechproducts.com	Intel::DOMAIN	APT	T
adserver.highspeedtesting.com	Intel::DOMAIN	APT	T
adserver.femaleinsider.com	Intel::DOMAIN	APT	T
adserver.elegantrecipes.com	Intel::DOMAIN	APT	T
adserver.easygoodhealth.com	Intel::DOMAIN	APT	T
adserver.diyfoodvids.com	Intel::DOMAIN	APT	T
adserver.diybaker.com	Intel::DOMAIN	APT	T
adserver.citybartender.com	Intel::DOMAIN	APT	T
adserver.alltraveldaily.com	Intel::DOMAIN	APT	T
adserver.1000bites.com	Intel::DOMAIN	APT	T
a.micagirl.net	Intel::DOMAIN	APT	T
ee2un066aepv4.php	Intel::DOMAIN	APT	T
dsaj2a1.org	Intel::DOMAIN	APT	T
dsaj2a.org	Intel::DOMAIN	APT	T
dsaj2a.com	Intel::DOMAIN	APT	T
dmforever.biz	Intel::DOMAIN	APT	T
cosmetech.co.jp	Intel::DOMAIN	APT	T
cdn2.movetoclarksville.com	Intel::DOMAIN	APT	T
cdn.movetoclarksville.com	Intel::DOMAIN	APT	T
cdn.jameswoodwardmusic.com	Intel::DOMAIN	APT	T
buhenge.com	Intel::DOMAIN	APT	T
amxil.opmuert.org	Intel::DOMAIN	APT	T
ellismikepage.info	Intel::DOMAIN	APT	T
art-control.link	Intel::DOMAIN	JOR HD	T
field-control.biz	Intel::DOMAIN	JOR HD	T
second-control.info	Intel::DOMAIN	JOR HD	T
byterials.com	Intel::DOMAIN	JOR HD	T
field-control.info	Intel::DOMAIN	JOR HD	T
second-control.link	Intel::DOMAIN	JOR HD	T
byterine.info	Intel::DOMAIN	JOR HD	T
field-control.link	Intel::DOMAIN	JOR HD	T
seconday.info	Intel::DOMAIN	JOR HD	T
byteriod.com	Intel::DOMAIN	JOR HD	T
finald.info	Intel::DOMAIN	JOR HD	T
secondency.info Intel::DOMAIN	JOR HD	T
cachedulla.com	Intel::DOMAIN	JOR HD	T
membero.info	Intel::DOMAIN	JOR HD	T
secondit.info	Intel::DOMAIN	JOR HD	T
categic.com	Intel::DOMAIN	JOR HD	T
potartcontrol.link	Intel::DOMAIN	JOR HD	T
secondura.info	Intel::DOMAIN	JOR HD	T
cathogen.com	Intel::DOMAIN	JOR HD	T
queen-ring.biz	Intel::DOMAIN	JOR HD	T
validines.info	Intel::DOMAIN	JOR HD	T
catholicy.info	Intel::DOMAIN	JOR HD	T
queen-ring.info Intel::DOMAIN	JOR HD	T
validol.info	Intel::DOMAIN	JOR HD	T
cathony.com	Intel::DOMAIN	JOR HD	T
queen-ring.link Intel::DOMAIN	JOR HD	T
valuelest.info	Intel::DOMAIN	JOR HD	T
center-ring.link	Intel::DOMAIN	JOR HD	T
second-contract.biz	Intel::DOMAIN	JOR HD	T
valuelete.info	Intel::DOMAIN	JOR HD	T
culturedse.info Intel::DOMAIN	JOR HD	T
second-contract.info	Intel::DOMAIN	JOR HD	T
valueste.info	Intel::DOMAIN	JOR HD	T
